query_id,answer
1,4396 1901 2943 4330 3088 2408 1918 4308 1958 2222
2,4407 3168 3265 3209 2408 4403 1901 1958 2866 4446
3,1910 4503 3265 4361 3090 4308 1824 4502 3641 3889
4,2866 4532 4403 2943 2865 2646 1966 4407 4400 4361
5,2943 1901 2646 3090 2911 2902 4329 3128 2944 3168
6,1954 2928 2198 3016 2196 4433 4148 3359 4153 2923
7,4403 2865 4407 2943 2866 4361 1958 2408 2831 1824
8,2646 1951 2943 1901 4308 3168 4407 2408 4009 1958
9,2405 4447 3314 2204 3932 2253 3861 4451 4361 2902
10,4223 4221 2242 1836 1829 1824 2255 4252 4274 2901
11,2866 2865 4403 2238 3209 2696 1966 4243 2831 4407
12,4403 4407 2408 1958 2943 2831 4389 2944 3209 2220
13,2944 2521 4407 3209 3843 4403 2802 2866 1958 3169
14,2663 2661 2253 2968 3595 1961 1967 2794 2254 2695
15,3470 4406 3077 3078 2943 3641 3889 4010 1910 2251
16,4407 1958 2521 2944 2220 2802 4389 4440 3843 2408
17,2943 1901 3168 2244 4308 2408 2866 4407 4286 2944
18,1910 2646 4308 3470 4446 2238 3078 3077 2928 3889
19,2646 3861 2943 4308 1901 3090 2911 2902 1951 4234
20,2866 4407 4403 2865 1966 2944 4532 3843 3209 2408
21,2943 1901 2405 3265 3090 1958 4403 2665 1960 4396
22,4242 4439 4337 4371 1967 3051 1961 4296 4249 3993
23,4243 3995 2918 2916 2244 4308 2831 4367 3168 4515
24,2944 4407 4389 4440 2521 3843 1958 2408 2802 4396
25,2253 2061 2944 1901 4447 4451 2521 2866 2943 4404
26,2220 4440 4389 3168 2408 3844 4407 2943 1918 2865
27,2944 4407 2521 4403 3843 3209 1958 2943 2802 2408
28,4403 3168 1824 4407 4148 4400 4308 4361 2962 2065
29,2865 2866 1966 4403 3844 3209 4407 4532 2238 1836
30,2646 2943 3861 2911 2902 4308 2866 4440 4234 4361
31,4308 4515 4545 3090 1824 4361 3995 4234 4302 4409
32,4389 4440 4330 3090 2944 2171 2253 2943 2663 3078
33,4407 4403 1958 2944 2802 2521 2247 4389 2943 2911
34,4407 2220 2408 2865 2866 4403 1966 2944 3168 3844
35,4308 3090 1901 2247 4243 4328 1958 1960 4403 1918
36,1966 4387 3843 2866 4407 2865 2944 4403 2521 2696
37,1966 2865 4407 4403 2866 3209 1958 2943 2944 4532
38,3470 3078 3265 4403 3209 2944 4407 2866 1958 3077
39,3579 1951 3861 4313 4286 4207 2646 4446 3470 3641
